name	wt 15' 0.4M - wt 0
YLR216C	1.2170259646
YMR135C	1.2169520076
YBR139W	1.2165888669
YOR033C	1.2160079638
YJL139C	1.2153699135
YHR124W	1.2151740426
YBR258C	1.2137355016
YNL115C	1.2136244432
YLR093C	1.2132339249
YGR222W	1.2131848283
YKR059W	1.2117238632
YOR261C	1.2116314974
YNL253W	1.2114843119
YBR181C	1.2113026658
YDR177W	1.2106325989
YOR092W	1.2105839883
YHR038W	1.2098039608
YNL250W	1.2088593956
YPL001W	1.2069953194
YNL304W, YNL303W	1.2068235423
YHR037W	1.2063327991
YHR035W	1.2061397521
YHR210C	1.2053791199
YER024W	1.205252304
YDR435C	1.2047527371
YDR371W	1.2047242424
YKL159C	1.2036974161
YNL051W	1.2031739015
YDL115C	1.2030171243
YKR052C	1.2029063045
YLR080W	1.2022833996
YGR288W	1.2021876549
YER185W	1.2021222863
YMR020W	1.2019069963
YDL013W	1.2017726849
YOL159C-A	1.2014850595
YGL009C	1.2012830515
YMR075W	1.2010438761
YDL233W	1.2009389662
YGL003C	1.2002770438
YHR080C	1.2000853428
YCR095W-A	1.2000208756
YAL017W	1.1990381913
YKL090W	1.1984069711
YGR252W	1.1983856559
YML091C	1.1982450633
YMR035W	1.1981063133
YBR236C	1.1973548114
YDR473C	1.1966276367
YNL010W	1.1965597522
YKL188C	1.1953636154
YLR066W	1.1944052475
YJL066C	1.1944007934
YDR317W	1.194299462
YCL047C	1.1935807486
YPR145C-A	1.1934348084
YOR020C	1.1932407514
YBR017C	1.193124291
YPR165W	1.1927018844
YER141W	1.1924863801
YIR027C	1.1924046974
YOR328W	1.1916040652
YEL041W	1.1915441051
YGR268C	1.1915413721
YJR011C	1.1910439089
YML117W, YML116W-A	1.1906572291
YOR057W	1.1902175865
YNL183C	1.1897468834
YEL054C	1.1896481289
YKL133C	1.1892676292
YKR049C	1.1889465244
YNL189W	1.1883529369
YBR286W	1.1883152265
