gene	comName	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	stressGene	mutantDep	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
2041	YGR187C	HGH1	0.430924392163288	1	-2.07244484648703	-1.63968888872544	0.000198111430799473	7.48206019869734e-07	Downregulated	-	378.256871510999	1099.30367332537	243.255603522029	1255.78799723805	412.343403019539	1446.74712317399	1448.34699583344	258.059000320007	1128.22220182443	458.61050894382	1453.93678713688	477.306302401204
2050	YGR194C	XKS1	-0.965140588177909	0.0313052151541265	2.76635360658965	1.79000974907542	7.51273383416444e-14	1.56501191144025e-07	Upregulated	Less upregulated	1346.33801724254	203.309880103856	1404.3080246569	211.473654420545	679.098588572043	162.240613307033	237.513396237746	1334.86882892803	150.120100928628	680.411227814831	202.605657132545	668.822672571516
2056	YGR200C	ELP2	0.282865609210917	1	-1.67527999250812	-1.39718875480497	0.00043504605662024	0.000730780199411713	Downregulated	-	850.543699781794	2939.30917114972	902.018075762766	3125.11067088139	1126.1953080192	3098.42975789371	2767.75814799495	951.299314816025	2841.44850829856	1215.73476734562	2798.85243495958	1125.34425262866
2083	YGR223C	HSV2	-0.259605588415257	1	1.62781983495895	1.36572857145988	0.0131625945681482	0.0561438785007964	Upregulated	-	869.777100028116	247.241160729313	752.120028187029	256.727275942637	699.762722664139	323.261372378674	261.749457078332	710.835246336018	238.335005598027	807.154495741123	286.542286516028	745.280758337184
2085	YGR225W	AMA1	-1.11499107116992	0.587541270802177	2.73870095689311	1.61915495316454	0.00038509054498068	0.445609251168562	Upregulated	-	80.4953417716438	22.4764691572103	105.19161233385	25.2375966180897	61.0531234539181	15.8581050600859	7.75553946898761	121.991527424003	15.476299064807	59.2024475182022	22.1901434002311	78.6850203025313
2097	YGR237C		-1.06709790629701	0.0635654322904511	2.185825127276	1.11823603835702	2.32771142882086e-05	1	Upregulated	-	1408.31230692513	210.461483926605	1017.72884933	248.024656419158	556.053062841839	325.701080849457	268.535554113696	880.919587456023	241.430265410989	684.580414259774	312.591585290212	699.999756087614
2101	YGR240C-A		-2.8173933284055	0.000142820066115673	3.33296080395453	0.49597991500996	4.09706007511899e-06	1	Upregulated	Less upregulated	89.7558678161692	14.3032076454974	77.5788140962146	14.7944531899147	23.4819705591993	26.8367931786069	7.75553946898761	102.050604672003	3.09525981296139	23.3474440916854	13.5070438088363	30.4347720038093
2102	YGR241C	YAP1802	-1.64612298837981	8.54477903478044e-09	2.10144902954356	0.451930351603769	1.20531043110174e-06	1	Upregulated	Less upregulated	3797.52802641268	963.423200693149	3855.27259203561	861.559332824443	1289.62982311122	1071.03201867349	762.951195261656	3079.11307200008	749.052874736657	1397.51129634517	904.007146348545	1235.20635644728
2103	YGR242W		-2.96429438299342	NA	5.60572568490024	2.65935493957051	0.0108945955436042	1	Upregulated	NA	11.3975705163389	0	9.2042660792119	0.870261952347922	3.75711528947188	0	0	10.5569591040003	0	2.50151186696629	0	0.742311512288031
2104	YGR243W	MPC3	-3.5191975211249	1.3017951501031e-12	6.74753020047644	3.21913625585487	4.54376260070552e-117	1.14862827608656e-10	Upregulated	Less upregulated	6807.19899088344	55.1695152040615	7985.35827129341	16.5349770946105	253.605282039352	9.75883388312978	61.0748733182774	7832.0906597122	95.9530542018032	160.096759485842	32.8028206786025	154.400794555911
2106	YGR245C	SDA1	0.169044482085853	1	-2.27046135815081	-2.1045252989502	9.76383944048933e-09	2.95090402612664e-15	Downregulated	-	696.676497811218	3803.63157601335	679.800794707507	3635.08417495727	904.525505940356	5129.48705982009	2795.87197857003	612.303628032016	2904.90133446427	1064.81021803865	3924.76101531044	1015.48214881003
2109	YGR248W	SOL4	-4.02975130556896	1.32982560671023e-14	7.14219859297088	3.10256283657347	1.05556498571716e-71	2.29657065243026e-08	Upregulated	Less upregulated	2394.20215658845	12.2598922675692	1976.28741672221	9.57288147582715	143.7096598223	20.7375220016508	19.388848672469	1664.48055206404	9.28577943888418	99.2266373896628	10.6126772783714	102.438988695748
2110	YGR249W	MGA1	-2.24491397761888	2.44916326031457e-09	3.38041086225347	1.13027497440841	6.46156557710839e-18	1	Upregulated	Less upregulated	991.588634921489	142.01041876601	1625.21041055799	167.090294850801	379.46864423666	154.921487894685	100.822013096839	1283.25702886403	128.453282237898	365.220732577078	145.683115366735	293.95535886606
2111	YGR250C		-0.894115107554463	0.0186943039638009	1.6114572332633	0.716163547210133	0.020673189740947	1	Upregulated	Less upregulated	1446.77910741778	372.905056471897	1255.72487223534	436.871500078657	700.702001486507	472.083589096403	428.493555661566	1110.82669683203	436.431633627556	755.456583823819	442.838079161134	788.334826049889
2118	YGR256W	GND2	-0.766121183156566	0.689453038336835	3.06131120241981	2.29019680605369	7.60742211470488e-16	1.16117460475699e-11	Upregulated	-	924.627908137997	107.274057341231	1305.69088809392	121.836673328709	808.719066058823	115.886152362166	126.027516371049	1022.85203763203	154.76299064807	629.547153186516	161.119736862548	543.372026994839
2135	YGR271C-A	EFG1	0.659531034544614	1	-3.46261486895814	-2.79432293547884	9.84187571656037e-08	2.15410385660789e-17	Downregulated	-	76.2212528280167	320.800514334728	24.9830079292894	446.444381554484	60.1138446315502	398.89233497293	747.440116323681	36.3628591360009	461.193712131247	65.8731458301123	624.218381736936	87.5927584499877
